"ISO","Cases_Resistance_All","Cases_Resilience_All","Cases_Reduction_All","Cases_R2_fit_All","Tests_Resistance_All","Tests_Resilience_All","Tests_Reduction_All","Tests_R2_fit_All","Deaths_Resistance_All","Deaths_Resilience_All","Deaths_Reduction_All","Deaths_R2_fit_All","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean_Cases_All","Stringency_Max_Cases_All","Stringency_Mean_Tests_All","Stringency_Max_Tests_All","Stringency_Mean_Deaths_All","Stringency_Max_Deaths_All","Stringency_Diff_Cases_All","Stringency_Diff_Tests_All","Stringency_Diff_Deaths_All","Stringency_DiffMax_Cases_All","Stringency_DiffMax_Tests_All","Stringency_DiffMax_Deaths_All","Stringency_DiffPreIn_Cases_All","Stringency_DiffPreIn_Deaths_All","Stringency_DiffOutIn_Cases_All","Stringency_DiffOutIn_Deaths_All","Stringency_Diff_MinMax_PreIn_Cases_All","Stringency_Diff_MinMax_PreIn_Deaths_All","Stringency_Diff_MinMax_OutIn_Cases_All","Stringency_Diff_MinMax_OutIn_Deaths_All","Stringency_Mean_Cases_Out","Stringency_Mean_Deaths_Out","Stringency_Min_Cases_Out","Stringency_Min_Deaths_Out","Stringency_Mean_Full","Stringency_Max_Full","Population","Pop_Dens","Country_Size","Median_Age","Aged_65_Older","Aged_70_Older","GDP_per_Capita","Extreme_Poverty","Cardio_Death_Rate","Diabetes_Prev","Female_Smokers","Male_Smokers","Handwashing_Facilities","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Latitude","Avg_Temp","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence","Most_Trusted","Conf_Government","Conf_Politicians","Conf_Parliament","Conf_WHO","Conf_Universities","Conf_Elections"
"AZE",-5.30062850281211e-05,0.020960733533328,0.784608514438821,0.856425866488912,NA,NA,NA,NA,-7.77183547971112e-07,0.0224407585954832,0.807106598984772,0.843928555354134,185,NA,198,87.9213253012048,96.3,NA,NA,85.0659210526316,96.3,19.0813253012048,NA,16.2259210526316,27.46,NA,16.2259210526316,27.9105277551925,22.3746710526316,26.0275972310294,21.4734529675252,96.3,96.3,96.3,96.3,61.8937280701754,63.5924680851064,0,0,68.84,96.3,10139175,119.309,84982.4824615075,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757,40.144847869873,11.95,NA,NA,NA,NA,61,22,26.3,0.778350515463918,0.393462469733656,0.583152566883586,NA,NA,NA
"BDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3189180327869,14.81,11890781,423.062,28106.4737556197,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,0.417,3.38442397117615,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEL",-0.000116476680504341,0.0394847993384037,0.935373948085813,0.984691436130017,-0.217814353889349,0.0417182369472287,0.968593205569004,0.950278171233884,-2.16262557793114e-05,0.0553661332795625,0.990264921800192,0.993474419150206,98,90,104,71.6495061728395,81.48,72.5331460674157,81.48,66.8847311827957,81.48,17.6978448309865,18.5814847255627,12.9330698409427,27.528338658147,27.528338658147,12.9330698409427,39.4618745938921,31.0903409388933,26.5333132794385,19.893288396726,81.48,81.48,81.48,81.48,45.116192893401,46.9914427860697,0,0,53.951661341853,81.48,11589616,375.564,30859.2303841689,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.916,50.5009994506836,9.55,65,75,54,94,82,57,NA,NA,NA,NA,NA,NA,NA
"BEN",-3.09489294821383e-06,0.022147629007771,0.877398720682303,0.96143752228733,NA,NA,NA,NA,-6.59891886612757e-08,0.0564409680852488,1,0.96125170485718,169,NA,191,42.1277319587629,47.22,NA,NA,41.67,41.67,1.61916986725962,NA,1.16143790849674,6.71143790849673,NA,1.16143790849674,3.77392243495336,2.88449704142012,2.37065061904997,1.45061224489796,47.22,41.67,47.22,41.67,39.7570813397129,40.219387755102,0,0,40.5085620915033,70.83,12123198,99.11,122320.633639391,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515,9.30031776428223,27.55,61,78,43,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFA",-9.33824828813931e-07,0.0275471581824786,0.885245901639344,0.96663881064334,NA,NA,NA,NA,-6.12344150041922e-08,0.0590488979371387,1,0.931239568863151,92,NA,96,70.4508571428571,89.81,NA,NA,69.9869230769231,89.81,29.6333172067549,NA,29.1693831408208,48.9924600638978,NA,29.1693831408208,53.3081428571429,49.2162474012474,37.7513834586466,34.6530888800319,89.81,89.81,89.81,89.81,32.6994736842105,35.3338341968912,0,0,40.8175399361022,89.81,20903278,70.151,297975.481461419,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423,12.2512946128845,28.29,NA,NA,NA,NA,27,18,NA,NA,NA,NA,NA,NA,NA
"BGD",-2.13745411870297e-05,0.00900583268367442,0.605415662924413,0.952272711463629,-0.231733949622593,0.0102661236305919,0.513398111074233,0.945214572355575,-2.59154532141273e-07,0.00639605132411338,0.561387066541706,0.842910486542397,173,204,178,78.8451401869159,80.09,80.09,80.09,79.2850381679389,80.09,9.91763199019458,11.1624918032787,10.3575299712176,11.1624918032787,11.1624918032787,10.3575299712176,20.4197759485053,20.34317919358,15.2771603889361,18.1554404667895,71.76,71.76,71.76,71.76,63.5679797979798,61.1295977011494,8.33,8.33,68.9275081967213,93.52,164689383,1265.036,130185.530688455,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608,23.6809816360474,25,80,20,55,60,47,20,12.9,0.703441295546559,0.453893442622951,0.669069687607278,0.64883401920439,0.786197082888652,0.567796610169491
"BGR",-3.3377252032649e-05,0.0143787584231388,0.472576750603656,0.887029103859239,-0.0535219046018273,0.0158762876857007,0.614647550641523,0.954774436456294,-1.21466025851827e-06,0.0128888993950338,0.327014218009479,0.848662362646305,207,186,234,38.8308510638298,41.67,38.5945454545455,47.22,37.965,38.89,-2.9763925259138,-3.21269813519814,-3.84224358974359,-0.137243589743591,5.41275641025641,-3.84224358974359,-3.98725704427832,-4.33971698113207,-3.50428101164191,-4.28135714285714,41.67,38.89,41.67,38.89,42.3351320754717,42.2463571428571,0,0,41.8072435897436,73.15,6948445,65.18,106603.942927278,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.813,42.7406730651855,10.55,70,30,40,85,69,16,17.1,0.323189926547744,0.24785444558874,0.263732514500171,NA,NA,NA
"BHR",-0.000313120194548253,0.011191405446147,0.327027027027027,0.940155495147988,-0.0663323902058901,0.00978117870900436,0.544721332265351,0.952215386561018,-1.59851150369979e-06,0.01071302027016,0.588235294117647,0.924012512709932,185,154,170,69.857,75,71.8329113924051,75,70.9796923076923,75,9.73572549019608,11.7116368826011,10.8584177978884,14.8787254901961,14.8787254901961,10.8584177978884,13.4038098159509,16.4062463617464,12.2796732673267,14.6798943278943,66.67,66.67,66.67,66.67,57.5773267326733,56.299797979798,8.33,8.33,60.1212745098039,78.7,1701583,1935.907,878.959061566491,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.846,26.0266122817993,27.15,80,38,53,68,23,34,NA,NA,NA,NA,NA,NA,NA
"BHS",-6.50988689071527e-06,0.0564543198283627,0.984375,0.964522697768564,NA,NA,NA,NA,-1.11888680934169e-06,0.0839106947269127,1,0.921948429989382,103,NA,101,NA,-Inf,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,NA,NA,Inf,Inf,NA,-Inf,393248,39.497,9956.4017520318,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.807,23.9387454986572,24.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIH",-1.36307594302026e-05,0.0201290490961264,0.619856887298748,0.846325264258444,NA,NA,NA,NA,-9.87559493601438e-07,0.0522289721818129,0.777777777777778,0.959068389344804,98,NA,129,86.3557142857143,92.59,NA,NA,69.560625,90.74,34.3847434119279,NA,17.5896541262136,40.6190291262136,NA,17.5896541262136,51.5863721804511,18.3508119158879,41.7198652291105,19.51109192607,92.59,90.74,92.59,90.74,44.6358490566038,50.04953307393,0,0,51.9709708737864,92.59,3280815,68.496,47897.9064470918,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768,43.918140411377,9.85,NA,NA,NA,NA,70,44,9.6,0.255813953488372,0.208164642375169,0.257575757575758,NA,NA,NA
"BLR",-9.86652903420256e-05,0.0317214515686078,0.879912476402952,0.965113183462429,-0.101987048642586,0.0260246421733823,0.871128359917939,0.900819793038735,-6.01101391306317e-07,0.0112632502357151,0.352112676056338,0.884663085509414,138,111,179,16.67,16.67,16.67,16.67,16.67,16.67,2.69308681672026,2.69308681672026,2.69308681672026,2.69308681672026,2.69308681672026,2.69308681672026,8.70344827586207,6.43057324840764,3.65742358078603,3.10203703703704,16.67,16.67,16.67,16.67,13.012576419214,13.567962962963,0,0,13.9769131832797,22.22,9449321,46.858,201658.649536899,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.808,53.7054214477539,6.15,NA,NA,NA,NA,81,15,40,0.508849557522124,0.363189720332577,0.473935389133627,NA,NA,NA
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4230225080386,85.19,397621,16.426,24206.8062827225,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,0.708,17.1854977607727,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",-0.000132411219058909,0.0269153836345823,NA,0.974219521688641,-0.594351185718092,0.0137687819991256,0.827005470763286,0.962794335843908,-5.93847578036515e-06,0.0249511221569824,0.899019042123485,0.818187247596198,207,191,213,84.1236,89.81,84.8501526717557,89.81,83.8368907563025,89.81,10.4473741935484,11.1739268653041,10.1606649498509,16.1337741935484,16.1337741935484,10.1606649498509,17.5064108108108,16.4911315939989,17.5064108108108,16.4911315939989,89.81,89.81,89.81,89.81,66.6171891891892,67.3457591623037,0,0,73.6762258064516,96.3,11673029,10.202,1144190.25681239,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.693,16.3010740280151,21.55,NA,NA,NA,NA,NA,NA,8.5,0.352603110209601,0.200404858299595,0.238496663154197,0.518691588785047,0.541666666666667,0.371794871794872
"BRA",-0.000217810541616626,0.00970831282084857,0.572293039305641,0.977931877523414,NA,NA,NA,NA,-5.07867426372078e-06,0.00920495800704163,0.644730991551801,0.944364107361631,215,NA,200,68.6603614457831,73.61,NA,NA,69.5321359223301,81.02,7.50536144578312,NA,8.3771359223301,12.455,NA,8.3771359223301,10.4607241400836,13.0215741245773,10.4859595319075,12.9424533826476,73.61,81.02,73.61,81.02,58.1744019138756,56.5896825396825,0,0,61.155,81.02,212559409,25.04,8488794.28913738,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.759,14.2421143054962,24.95,69,38,49,76,44,59,6.5,0.237363387978142,0.156982670744139,0.182972880192242,0.491731940818103,0.655603140613847,0.267620020429009
"BRB",-9.60430941187524e-06,0.0338095214483889,0.985507246376812,0.884167279715592,NA,NA,NA,NA,-9.74350230190242e-07,0.077334632233503,1,0.93129140616407,90,NA,107,80.4217777777778,88.89,NA,NA,86.325,88.89,31.7505918803419,NA,37.6538141025641,40.2188141025641,NA,37.6538141025641,58.8116307189542,52.1414705882353,44.6224534534535,41.0768881118881,77.78,77.78,77.78,77.78,35.7993243243243,45.2481118881119,11.11,11.11,48.6711858974359,88.89,287371,664.463,432.486082746519,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8,13.1899409294128,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRN",-1.22519046454377e-05,0.072945299597445,1,0.78947448863366,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,55.931186440678,58.33,NA,NA,NA,NA,15.2117615205502,NA,NA,17.6105750798722,NA,NA,31.9990197740113,NA,18.7452021887095,NA,47.22,NA,47.22,NA,37.1859842519685,NA,11.11,NA,40.7194249201278,58.33,437483,81.347,5377.98566634295,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.853,4.52316927909851,26.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",-2.38461817597445e-06,0.0508215218005434,0.717391304347826,0.920558466962368,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,83.33,83.33,NA,NA,NA,NA,15.8047712418301,NA,NA,15.8047712418301,NA,NA,30.5468181818182,NA,24.9741836734694,NA,69.44,NA,69.44,NA,58.3558163265306,65.0671071428571,13.89,13.89,67.5252287581699,97.22,771612,21.188,36417.4060789126,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.612,27.5063724517822,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1241666666667,86.11,2351625,4.044,581509.643916914,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,0.717,22.3208990097046,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",-1.9545468474236e-05,0.0347180039468507,0.994915254237288,0.833002130641075,NA,NA,NA,NA,-3.8925297385131e-07,0.0520564849975773,1,0.943718774998619,166,NA,175,56.0274809160305,64.81,NA,NA,56.999512195122,64.81,10.1825789552462,NA,11.1546102343376,18.9650980392157,NA,11.1546102343376,14.9126198049194,14.4908193846644,17.8049666303163,15.2379943379791,64.81,64.81,64.81,64.81,38.2225142857143,41.7615178571429,0,0,45.8449019607843,75.93,4829764,7.479,645776.708116058,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.367,6.63315403461456,24.9,54,73,45,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",-4.45062003213012e-05,0.0287427264222422,0.812901843120446,0.981254326407757,-0.087209822795784,0.0321878881509138,0.908235054954423,0.973033449564558,-4.26790657460304e-06,0.0334182457848778,0.968959523218277,0.952694803583085,116,101,122,71.0004545454545,72.69,71.1277272727273,72.69,68.5134959349594,72.69,14.9870999128667,15.1143726401394,12.5001413023715,16.6766453674121,16.6766453674121,12.5001413023715,37.5953481624758,32.7512959349594,18.9917500920132,20.5923380402225,69.91,69.91,69.91,69.91,52.0087044534413,47.9211578947368,2.78,2.78,56.0133546325879,74.54,37742157,4.037,9349060.44092148,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.926,62.3954830169678,-5.35,39,80,52,48,36,68,NA,NA,NA,NA,NA,NA,NA
"CHE",-0.000103560896621896,0.0690442588573112,0.980497166064176,0.992244227008812,-0.158346276704862,0.061734574576239,0.976379413136392,0.98013565038767,-5.77264068731861e-06,0.0550842791811161,0.991993594875901,0.961978951462385,89,91,101,66.7640909090909,73.15,64.5701388888889,73.15,56.0343333333333,73.15,23.4432282892826,21.2492762690806,12.713470713525,29.8291373801917,29.8291373801917,12.713470713525,44.569762550882,26.0999029535865,29.7074107471476,17.8444678624813,73.15,73.15,73.15,73.15,37.0566801619433,38.189865470852,0,0,43.3208626198083,73.15,8654618,214.243,40396.2696564182,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.944,46.8028316497803,5.5,34,68,70,58,74,66,57.1,0.570598290598291,0.375864453665283,0.524053224155578,NA,NA,NA
"CHL",-0.00031027700105183,0.0118593440202263,0.721694327738176,0.840979903419259,-0.343945129475511,0.0185292846863886,0.84208534992261,0.941075927954505,-8.96202798368651e-06,0.0168276816337906,0.728227877655849,0.89533844261785,155,155,171,82.2971951219512,87.5,82.2465317919075,87.5,82.7412244897959,87.5,16.7893193049578,16.7386559749141,17.2333486728024,21.9921241830065,21.9921241830065,17.2333486728024,38.5621575279663,35.3009560334201,36.179800755754,33.1660672570915,87.5,87.5,87.5,87.5,46.1173943661972,49.5751572327044,0,0,65.5078758169935,87.5,19116209,24.282,787258.421876287,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.843,36.698878288269,8.45,63,23,28,86,31,68,12.9,0.389513108614232,0.237950792045837,0.292260692464358,0.475152905198777,0.613046448087432,0.507598784194529
"CHN",-2.03681760348662e-06,0.0621722742035013,0.983067498055696,0.816661997597946,NA,NA,NA,NA,-6.83098561811152e-08,0.0763807526858164,0.970707892595606,0.986085455361103,36,NA,44,73.9806666666667,81.94,NA,NA,78.1866666666667,81.94,2.54883974358974,NA,6.75483974358974,10.5081730769231,NA,6.75483974358974,9.31999999999999,9.44797101449275,3.35543459915611,8.07475095785441,55.55,55.55,55.55,55.55,70.6252320675106,70.1119157088123,26.39,26.39,71.4318269230769,81.94,1439323774,147.674,9746629.56241451,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.752,35.8869380950928,6.95,80,20,66,30,87,24,63.5,0.80641925777332,0.756203890006707,0.76750418760469,NA,0.730046948356807,0.548841893252769
